IT8.7/1
ORIGINATOR           "Monaco Systems, Inc."
DESCRIPTOR           "IT8.7/1 Reference Data File, 4x5 Fujichrome"
CREATED              "2003:02:24"
MANUFACTURER         "Monaco Systems, Inc."
PROD_DATE            "2002:12"
SERIAL               "Batch Average Data"
MATERIAL             "Fujichrome"
INSTRUMENTATION      "Barbieri Spectro 100xy"
#
NUMBER_OF_FIELDS     7
#
BEGIN_DATA_FORMAT
SAMPLE_ID            XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B
END_DATA_FORMAT
#
NUMBER_OF_SETS       288
#
BEGIN_DATA
#ID                  X       Y       Z       L       A       B
A1                       1.91    1.65    1.01   13.56    7.82    4.83
A2                       2.31    1.61    0.79   13.27   17.98    8.00
A3                       2.79    1.57    0.63   13.07   28.14   10.63
A4                       3.38    1.75    0.62   14.10   33.82   12.60
A5                       8.57    7.56    4.67   33.06   11.65    7.81
A6                      10.43    7.63    3.99   33.20   26.20   11.97
A7                      12.83    7.93    3.48   33.84   40.44   16.29
A8                      15.27    7.48    2.47   32.87   59.88   22.16
A9                      25.90   25.26   17.62   57.33    6.55    6.87
A10                     27.38   25.11   16.94   57.18   13.21    8.18
A11                     30.23   25.75   15.87   57.80   21.57   11.78
A12                     31.28   21.58   11.49   53.58   43.64   16.29
A13                     64.37   70.33   59.21   87.16   -7.67   -1.21
A14                     66.30   66.81   56.61   85.41    4.21   -1.57
A15                     67.83   71.94   51.26   87.94   -3.33    8.54
A16                     60.95   63.82   50.79   83.87   -1.35    2.04
A17                     64.80   65.54   50.08   84.76    3.65    4.38
A18                     62.96   69.03   52.08   86.52   -8.11    5.18
A19                     62.20   65.01   56.90   84.49   -1.12   -3.45
A20                     16.48   24.30   35.28   56.39  -34.56  -25.87
A21                     15.11    8.00   11.06   33.99   54.07  -16.16
A22                     38.62   37.66    2.77   67.77    7.48   79.87
B1                       2.83    2.62    1.35   18.45    5.71    8.59
B2                       3.40    2.63    0.78   18.51   15.28   17.24
B3                       4.01    2.64    0.45   18.56   24.24   23.46
B4                       5.89    3.01    0.11   20.07   41.49   32.51
B5                      11.36   10.29    5.14   38.36   10.78   14.44
B6                      13.45   10.49    3.45   38.70   23.56   24.92
B7                      15.62   10.58    2.14   38.87   36.08   35.36
B8                      18.44    9.70    0.37   37.30   58.32   57.33
B9                      31.10   31.16   20.93   62.64    3.92    8.97
B10                     32.42   30.97   18.38   62.48    9.40   14.07
B11                     35.46   32.00   17.01   63.34   16.24   18.64
B12                     36.17   27.55    8.57   59.48   35.27   36.12
B13                     58.45   66.18   58.99   85.09  -12.57   -4.56
B14                     61.11   58.25   53.27   80.88   11.90   -5.84
B15                     66.51   70.85   43.28   87.41   -3.94   16.99
B16                     49.68   51.80   41.68   77.16   -0.71    1.32
B17                     58.00   55.54   40.41   79.35   11.09    6.73
B18                     55.76   63.85   44.62   83.89  -14.00    9.27
B19                     52.41   54.39   54.07   78.69   -0.09  -10.47
B20                     10.71   16.22   22.86   47.26  -32.34  -21.33
B21                     10.17    5.58    7.72   28.33   45.15  -14.38
B22                     25.77   25.36    2.18   57.42    5.59   66.97
C1                       5.50    5.56    2.75   28.27    1.65   11.94
C2                       6.04    5.67    1.73   28.57    6.50   21.72
C3                       6.41    5.70    0.93   28.64   10.17   32.20
C4                       8.07    6.57    0.49   30.80   16.97   43.82
C5                      21.80   21.28    9.61   53.25    6.09   21.72
C6                      23.96   21.43    5.24   53.42   15.14   39.91
C7                      25.79   21.77    2.66   53.78   21.36   56.64
C8                      33.32   25.27    1.10   57.34   34.74   78.98
