IT8.7/1
ORIGINATOR            "Monaco Systems, Inc."
DESCRIPTOR            "IT8.7/1 Reference Data File, 4x5 Ektachrome"
CREATED               "2003:07:21"
MANUFACTURER          "Monaco Systems, Inc."
PROD_DATE             "2003:07"
SERIAL                "Batch Average Data"
MATERIAL              "Ektachrome"
INSTRUMENTATION       "Barbieri Spectro 100xy"
#
NUMBER_OF_FIELDS             7
#
BEGIN_DATA_FORMAT
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B
END_DATA_FORMAT
#
NUMBER_OF_SETS             288
#
BEGIN_DATA
#ID                         X       Y       Z       L       A       B
A1                        2.08    1.78    1.37   14.29    8.66    1.21
A2                        2.65    1.76    1.09   14.18   20.82    4.72
A3                        3.13    1.69    0.87   13.77   31.22    7.43
A4                        3.73    1.81    0.75   14.46   37.86   10.82
A5                        9.62    8.27    6.41   34.54   14.10    1.78
A6                       11.08    7.84    5.43   33.65   29.09    4.88
A7                       13.68    8.10    4.67   34.18   44.47    9.72
A8                       16.12    8.28    3.87   34.56   57.54   15.01
A9                       27.22   26.44   21.38   58.45    7.07    0.85
A10                      29.65   26.63   20.12   58.63   15.78    3.71
A11                      33.15   27.52   19.10   59.45   25.07    7.28
A12                      34.76   27.17   17.72   59.13   31.99    9.77
A13                      61.75   67.21   53.19   85.61   -6.99    2.41
A14                      64.22   65.00   51.18   84.48    3.54    2.66
A15                      66.29   69.67   50.89   86.84   -1.96    7.05
A16                      60.57   63.83   50.17   83.87   -2.28    2.75
A17                      64.38   65.41   49.75   84.70    2.98    4.63
A18                      62.06   67.68   51.62   85.84   -7.29    4.53
A19                      61.55   64.85   52.72   84.41   -2.28    0.85
A20                      17.62   25.66   42.12   57.72  -33.99  -32.75
A21                      16.35    7.89   12.09   33.75   62.30  -19.67
A22                      46.69   43.19    2.94   71.68   14.67   85.33
B1                        3.26    2.88    1.75   19.57    8.31    5.94
B2                        3.95    2.93    1.06   19.74   18.26   14.75
B3                        4.51    2.87    0.57   19.52   27.04   22.97
B4                        5.59    3.14    0.28   20.58   35.88   30.28
B5                       12.48   11.18    6.78   39.88   12.09    9.40
B6                       14.24   10.99    4.27   39.56   24.80   21.26
B7                       16.92   11.16    2.58   39.84   39.25   33.27
B8                       19.13   10.95    1.32   39.50   52.40   45.24
B9                       33.09   32.72   25.03   63.93    5.54    3.41
B10                      34.98   32.60   21.55   63.83   12.51    9.78
B11                      37.91   33.36   19.25   64.45   19.54   15.57
B12                      38.52   32.44   16.43   63.70   24.72   20.61
B13                      56.37   61.33   50.09   82.56   -6.75    0.56
B14                      56.99   56.93   47.68   80.14    5.23   -0.84
B15                      60.14   63.43   47.96   83.67   -2.39    4.92
B16                      53.84   55.92   46.45   79.57   -0.18   -0.38
B17                      57.32   57.52   46.13   80.47    4.60    1.55
B18                      56.66   61.88   48.42   82.85   -7.26    2.97
B19                      54.91   57.02   49.01   80.19   -0.18   -2.29
B20                      11.41   16.63   29.39   47.79  -29.49  -31.81
B21                      10.55    5.16    8.80   27.20   52.97  -20.38
B22                      30.49   27.81    2.14   59.72   14.28   71.33
C1                        6.44    6.31    3.61   30.18    3.75    9.14
C2                        6.82    6.27    2.12   30.09    8.13   20.39
C3                        7.35    6.29    1.13   30.14   13.14   31.77
C4                        8.62    6.97    0.75   31.75   17.79   40.54
C5                       22.67   22.10   11.75   54.13    6.30   16.46
C6                       25.50   22.90    6.53   54.97   15.02   36.49
C7                       28.32   23.32    3.00   55.40   24.57   56.85
C8                       34.77   27.85    1.92   59.75   29.38   73.52
