IT8.7/1
ORIGINATOR          "Monaco Acquisition Company"
DESCRIPTOR          "IT8.7/1 Reference Data File, 4x5 Ektachrome"
CREATED             "Wednesday, October 8, 2003"
MANUFACTURER        "Monaco Acquisition Company"
PROD_DATE           "2003:12"
SERIAL              "Batch Average Data"
MATERIAL            "Kodak Ektachrome Product Family"
NUMBER_OF_FIELDS          11
BEGIN_DATA_FORMAT
SAMPLE_ID           XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B   STDEV_X STDEV_Y STDEV_Z STDEV_DE
END_DATA_FORMAT
NUMBER_OF_SETS 288
#
BEGIN_DATA
#ID                      X       Y       Z       L       A       B     SD_X    SD_Y    SD_Z   SD_dE
A01                     2.03    1.73    1.27   13.98    8.76    2.01    0.13    0.12    0.10    0.34
A02                     2.78    1.80    1.06   14.41   22.25    5.59    0.15    0.10    0.08    0.31
A03                     3.38    1.79    0.90   14.33   32.84    7.91    0.18    0.10    0.07    0.31
A04                     3.69    1.83    0.77   14.55   36.83   10.52    0.18    0.09    0.06    0.32
A05                    10.06    8.66    6.43   35.30   14.23    3.07    0.46    0.41    0.45    0.55
A06                    12.12    8.51    5.53   35.02   30.49    6.78    0.56    0.41    0.43    0.51
A07                    14.67    8.69    4.76   35.38   45.42   11.34    0.64    0.39    0.37    0.43
A08                    16.72    8.73    4.29   35.45   57.07   14.09    0.28    0.20    0.35    0.52
A09                    28.98   28.15   22.58   60.01    7.22    1.25    1.39    1.32    1.30    0.31
A10                    30.84   27.82   21.13   59.71   15.52    3.56    1.34    1.19    1.02    0.39
A11                    34.68   28.87   20.53   60.66   25.12    6.41    1.15    1.02    0.88    0.37
A12                    36.19   28.84   19.35   60.64   30.32    8.83    0.71    0.73    0.83    0.36
A13                    63.22   68.41   54.95   86.21   -6.18    1.58    1.34    1.31    0.97    0.29
A14                    65.13   66.50   52.82   85.25    2.27    2.22    1.25    1.27    1.22    0.25
A15                    66.08   69.40   52.02   86.70   -1.85    5.60    1.39    1.35    1.51    0.42
A16                    62.32   65.22   53.12   84.59   -1.29    0.76    1.56    1.56    1.42    0.44
A17                    65.20   66.21   51.61   85.10    3.09    3.29    1.48    1.50    1.61    0.43
A18                    62.56   67.81   53.32   85.91   -6.42    2.82    1.83    1.82    1.93    0.55
A19                    62.11   65.68   53.62   84.82   -2.81    0.63    1.89    1.90    1.72    0.49
A20                    18.31   26.80   43.61   58.78  -34.98  -32.74    0.86    1.24    1.59    0.54
A21                    16.72    8.15   12.11   34.30   61.98  -18.71    0.57    0.30    0.85    0.80
A22                    47.64   44.44    3.24   72.51   13.74   84.62    0.87    1.10    0.14    0.46
B01                     3.28    2.92    1.79   19.69    8.14    5.83    0.21    0.19    0.12    0.33
B02                     4.00    2.92    1.02   19.72   19.15   15.29    0.19    0.14    0.07    0.31
B03                     4.75    3.01    0.60   20.09   27.70   23.40    0.22    0.14    0.04    0.36
B04                     5.26    2.98    0.31   19.98   34.49   28.56    0.21    0.12    0.02    0.41
B05                    13.02   11.53    6.87   40.45   13.13   10.04    0.54    0.51    0.45    0.42
B06                    14.67   11.27    4.43   40.02   25.43   21.18    0.69    0.55    0.33    0.39
B07                    17.24   11.26    2.68   40.01   40.24   32.78    0.75    0.53    0.20    0.30
B08                    19.60   11.42    1.65   40.28   51.39   42.81    0.38    0.32    0.13    0.38
B09                    34.34   33.92   26.24   64.88    5.70    3.00    1.52    1.49    1.54    0.40
B10                    36.99   34.54   22.82   65.38   12.49   10.04    1.34    1.25    1.02    0.29
B11                    39.38   35.05   20.78   65.78   18.44   14.73    1.23    1.17    0.83    0.32
B12                    40.70   34.99   18.98   65.74   22.73   18.42    0.77    0.85    0.76    0.27
B13                    59.53   64.89   53.53   84.42   -7.12    0.02    1.27    1.27    0.85    0.29
B14                    59.96   60.58   51.01   82.15    3.71   -1.14    1.41    1.40    1.26    0.27
B15                    62.21   65.27   50.61   84.62   -1.69    3.58    1.42    1.39    1.40    0.43
B16                    56.65   58.99   49.16   81.28   -0.55   -0.55    1.54    1.52    1.37    0.44
B17                    59.85   60.31   49.14   82.00    4.05    0.73    1.83    1.85    1.76    0.51
B18                    58.28   63.39   50.87   83.64   -6.78    1.60    1.95    1.99    1.77    0.50
B19                    57.27   59.75   51.86   81.69   -0.83   -2.86    2.11    2.16    1.82    0.61
B20                    11.46   16.70   30.38   47.86  -29.49  -33.18    0.65    0.88    1.67    0.54
B21                    10.68    5.26    8.48   27.46   52.76  -18.69    0.55    0.29    0.60    0.64
B22                    31.05   27.99    2.30   59.87   15.64   70.14    1.22    1.14    0.11    0.64
C01                     6.43    6.20    3.56   29.90    4.91    9.06    0.33    0.33    0.26    0.31
C02                     6.92    6.24    2.10   29.99    9.54   20.46    0.27    0.26    0.13    0.28
C03                     8.00    6.72    1.17   31.15   14.79   32.93    0.32    0.28    0.07    0.29
C04                     8.71    7.04    0.77   31.89   17.91   40.54    0.37    0.33    0.05    0.37
C05                    25.15   24.10   12.61   56.17    8.35   17.55    1.10    1.09    0.79    0.40
C06                    25.72   22.87    6.43   54.92   16.12   36.92    1.07    0.99    0.42    0.34
C07                    28.59   23.60    3.20   55.67   24.43   55.91    1.10    1.00    0.18    0.41
C08                    31.54   24.35    1.71   56.43   32.33   69.94    0.68    0.72    0.09    0.42
C09                    42.18   42.68   29.89   71.32    3.08    8.04    1.75    1.79    1.73    0.50
C10                    43.63   43.00   25.56   71.54    6.49   15.65    1.41    1.43    1.08    0.35
C11                    45.13   42.76   20.23   71.39   11.51   25.52    1.25    1.34    0.92    0.42
C12                    45.77   42.49   17.42   71.20   14.15   31.29    0.92    1.09    0.71    0.51
C13                    53.12   61.18   54.15   82.47  -14.56   -4.01    1.17    1.20    0.86    0.24
C14                    55.30   52.12   47.82   77.35   13.04   -5.77    1.43    1.45    1.31    0.27
C15                    62.33   66.06   42.22   85.02   -3.13   14.25    1.53    1.52    1.58    0.54
C16                    42.69   44.43   36.93   72.50   -0.45   -0.36    1.54    1.56    1.53    0.54
C17                    51.34   48.17   36.72   74.92   13.31    4.12    1.63    1.64    1.84    0.65
C18                    50.79   59.63   43.05   81.63  -17.05    7.36    1.62    1.66    1.70    0.51
C19                    47.60   49.08   49.81   75.49    0.77  -11.27    1.95    2.06    1.63    0.62
C20                     6.91   10.43   18.09   38.58  -27.68  -26.44    0.45    0.60    1.19    0.69
C21                     6.26    3.15    5.63   20.63   43.01  -18.51    0.34    0.19    0.41    0.53
C22                    18.27   17.17    1.71   48.46    9.27   56.18    0.76    0.74    0.10    0.54
D01                     4.06    4.30    2.46   24.64   -1.25    8.11    0.22    0.24    0.18    0.28
D02                     4.26    4.48    1.50   25.20   -0.92   18.52    0.17    0.19    0.08    0.19
D03                     4.74    5.00    0.93   26.72   -0.96   28.89    0.19    0.21    0.05    0.24
D04                     4.98    5.27    0.81   27.48   -1.19   32.22    0.19    0.22    0.05    0.25
D05                    18.01   18.82   10.03   50.47   -0.71   15.57    0.67    0.71    0.59    0.35
D06                    18.01   18.83    5.17   50.48   -0.77   35.23    0.71    0.76    0.31    0.37
D07                    17.37   18.42    2.43   49.99   -2.10   52.07    0.74    0.80    0.12    0.46
D08                    17.28   18.24    1.73   49.77   -1.65   58.29    0.74    0.81    0.09    0.50
D09                    50.63   52.91   26.83   77.81   -1.01   24.27    1.81    1.92    1.54    0.44
D10                    49.72   52.52   14.65   77.58   -2.46   48.96    1.64    1.83    0.72    0.37
D11                    48.00   51.47    7.19   76.96   -4.45   71.61    1.22    1.29    0.22    0.38
D12                    49.00   52.35    4.14   77.48   -3.96   87.40    1.27    1.33    0.17    0.39
D13                    47.77   57.61   53.57   80.52  -20.40   -6.75    1.07    1.11    1.04    0.24
D14                    49.57   42.89   44.28   71.48   23.48  -11.68    1.07    1.08    1.07    0.31
D15                    63.49   67.88   34.35   85.94   -4.42   26.45    1.14    1.15    1.26    0.52
D16                    31.73   32.74   27.54   63.94    0.59   -0.87    1.06    1.07    1.04    0.34
D17                    44.01   38.63   26.68   68.48   20.81    8.41    1.02    1.02    1.19    0.50
D18                    45.74   56.33   34.83   79.80  -22.98   15.17    1.19    1.24    1.49    0.58
D19                    37.42   37.59   45.54   67.70    3.87  -19.71    1.45    1.48    1.57    0.50
D20                     3.83    5.90   10.35   29.15  -24.17  -22.21    0.27    0.36    0.73    0.59
D21                     3.74    1.99    3.78   15.40   33.80  -17.35    0.21    0.12    0.31    0.45
D22                    10.50   10.20    1.21   38.19    5.19   44.54    0.41    0.43    0.07    0.47
