IT8.7/1
ORIGINATOR          "Monaco Acquisition Company"
DESCRIPTOR          "IT8.7/1 Reference Data File, 4x5 Ektachrome"
CREATED             "Thursday, May 20, 2004"
MANUFACTURER        "Monaco Acquisition Company"
PROD_DATE           "2004:04"
SERIAL              "Batch Average Data"
MATERIAL            "Kodak Ektachrome Product Family"
NUMBER_OF_FIELDS          11
BEGIN_DATA_FORMAT
SAMPLE_ID           XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B   STDEV_X STDEV_Y STDEV_Z STDEV_DE
END_DATA_FORMAT
NUMBER_OF_SETS 288
#
BEGIN_DATA
#ID                      X       Y       Z       L       A       B     SD_X    SD_Y    SD_Z   SD_dE
A01                     1.67    1.39    0.99   11.89    9.05    2.38    0.07    0.06    0.05    0.20
A02                     2.19    1.44    0.82   12.19   20.04    5.70    0.09    0.05    0.04    0.26
A03                     2.69    1.45    0.65   12.25   29.84    8.80    0.11    0.05    0.04    0.31
A04                     3.15    1.55    0.56   12.90   35.20   11.62    0.11    0.05    0.03    0.30
A05                     8.26    7.03    5.29   31.87   14.02    2.51    0.33    0.27    0.33    0.42
A06                     9.86    6.90    4.48   31.58   28.73    6.32    0.40    0.27    0.32    0.41
A07                    12.36    7.20    3.74   32.25   44.09   11.94    0.45    0.25    0.25    0.43
A08                    15.60    7.89    3.14   33.75   58.00   18.59    0.22    0.13    0.25    0.76
A09                    24.62   23.58   19.73   55.65    8.27   -0.52    1.08    1.01    1.33    0.62
A10                    26.51   23.55   18.73   55.62   16.33    1.56    1.16    1.01    1.31    0.55
A11                    29.51   24.33   17.74   56.40   24.81    5.08    1.18    0.98    1.19    0.48
A12                    33.61   25.67   16.85   57.72   34.14    9.39    0.78    0.74    1.11    0.66
A13                    57.29   60.66   55.11   82.18   -2.91   -5.51    1.66    1.85    1.40    0.54
A14                    60.54   59.07   52.34   81.32    8.62   -4.03    1.61    1.79    1.45    0.61
A15                    63.26   63.46   49.45   83.68    4.80    3.27    1.56    1.67    1.71    0.43
A16                    59.43   60.80   53.14   82.26    1.93   -3.27    1.59    1.75    1.37    0.50
