IT8.7/1
ORIGINATOR          "Monaco Acquisition Company"
DESCRIPTOR          "IT8.7/1 Reference Data File, 4x5 Ektachrome"
CREATED             "Thursday, July 29, 2004"
MANUFACTURER        "Monaco Acquisition Company"
PROD_DATE           "2004:06"
SERIAL              "Batch Average Data"
MATERIAL            "Kodak Ektachrome Product Family"
NUMBER_OF_FIELDS          11
BEGIN_DATA_FORMAT
SAMPLE_ID           XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B   STDEV_X STDEV_Y STDEV_Z STDEV_DE
END_DATA_FORMAT
NUMBER_OF_SETS 288
#
BEGIN_DATA
#ID                      X       Y       Z       L       A       B     SD_X    SD_Y    SD_Z   SD_dE
A01                     2.01    1.75    1.39   14.11    7.78    0.61    0.07    0.06    0.06    0.23
A02                     2.68    1.79    1.18   14.35   20.67    3.81    0.11    0.07    0.06    0.28
A03                     3.25    1.75    0.99   14.14   31.63    6.22    0.11    0.06    0.05    0.27
A04                     3.67    1.82    0.88   14.50   36.77    8.53    0.12    0.06    0.05    0.26
A05                    10.33    8.94    7.16   35.86   13.87    0.92    0.35    0.30    0.36    0.38
A06                    11.82    8.47    6.05   34.93   28.85    4.10    0.36    0.25    0.27    0.34
A07                    14.56    8.69    5.25   35.37   44.79    8.75    0.47    0.28    0.23    0.42
A08                    16.82    8.64    4.32   35.29   58.29   13.65    0.17    0.11    0.19    0.50
A09                    28.20   27.43   23.32   59.37    6.99   -1.28    0.87    0.82    0.83    0.48
A10                    30.34   27.48   22.06   59.41   14.98    1.22    0.92    0.80    0.85    0.45
A11                    33.20   27.93   21.10   59.82   23.62    3.81    0.82    0.68    0.72    0.35
A12                    36.74   29.02   20.04   60.80   31.44    7.66    0.61    0.60    0.68    0.39
A13                    59.73   64.00   56.97   83.96   -4.65   -4.40    1.21    1.32    0.70    0.46
A14                    63.86   62.92   54.87   83.39    7.40   -3.18    1.32    1.44    0.87    0.48
A15                    66.27   67.54   54.60   85.77    2.55    1.21    1.36    1.45    1.00    0.39
A16                    62.19   64.57   56.03   84.26   -0.15   -2.91    1.49    1.62    1.03    0.42
A17                    63.78   62.81   52.50   83.33    7.48   -0.73    1.52    1.64    1.32    0.43
A18                    59.40   64.08   54.29   84.00   -5.60   -1.52    1.60    1.77    1.29    0.43
A19                    56.92   59.48   55.78   81.54   -1.04   -7.33    1.75    1.98    1.24    0.68
A20                    16.98   24.08   36.54   56.15  -30.80  -28.00    0.74    1.00    1.55    0.61
A21                    13.85    7.04   11.37   31.88   55.43  -20.70    0.49    0.24    0.54    0.60
A22                    34.97   33.77    2.95   64.77    8.39   73.36    1.23    1.24    0.11    0.82
B01                     3.11    2.84    1.87   19.39    6.64    4.47    0.10    0.09    0.08    0.28
B02                     3.96    2.95    1.11   19.84   18.07   14.19    0.14    0.09    0.05    0.27
B03                     4.67    3.02    0.64   20.12   26.51   22.52    0.15    0.10    0.03    0.27
B04                     5.22    3.01    0.37   20.06   33.68   27.59    0.15    0.08    0.01    0.30
B05                    12.92   11.53    7.26   40.46   12.48    8.42    0.38    0.33    0.32    0.32
B06                    14.65   11.47    4.93   40.35   23.90   18.98    0.42    0.32    0.21    0.33
B07                    17.25   11.50    3.02   40.41   38.56   30.87    0.50    0.33    0.12    0.39
B08                    19.32   11.93    2.36   41.10   46.42   37.30    0.44    0.29    0.09    0.29
B09                    33.16   32.69   26.86   63.90    5.89    0.21    1.05    1.01    1.03    0.46
B10                    35.09   32.76   23.27   63.96   12.27    6.74    0.94    0.86    0.86    0.45
B11                    37.42   33.42   21.42   64.50   17.71   11.23    0.93    0.86    0.77    0.37
B12                    40.21   34.14   19.10   65.07   24.12   16.99    0.69    0.72    0.64    0.43
B13                    54.70   60.06   56.58   81.87   -7.96   -7.61    1.08    1.23    0.83    0.44
B14                    58.76   54.60   50.87   78.80   15.26   -6.75    1.21    1.33    1.01    0.51
B15                    65.44   66.20   45.31   85.09    3.65   10.55    1.35    1.43    1.50    0.42
B16                    52.83   54.57   48.69   78.78    0.56   -4.31    1.42    1.51    1.29    0.44
B17                    56.93   53.35   41.64   78.07   13.96    2.99    1.31    1.41    1.55    0.59
B18                    53.67   59.55   46.28   81.58   -9.36    3.33    1.51    1.64    1.61    0.43
B19                    47.61   48.00   51.18   74.81    3.73  -13.98    1.74    1.91    1.34    0.76
B20                    11.39   16.10   23.57   47.10  -26.69  -22.89    0.50    0.64    1.17    0.56
B21                     9.11    4.82    8.01   26.20   45.81  -19.13    0.33    0.17    0.37    0.52
B22                    22.28   21.68    2.14   53.67    6.45   60.90    0.77    0.75    0.07    0.58
C01                     6.53    6.40    3.89   30.38    3.85    7.77    0.20    0.19    0.17    0.31
C02                     6.94    6.41    2.36   30.43    7.85   18.92    0.20    0.18    0.09    0.25
C03                     7.73    6.60    1.23   30.88   13.48   31.67    0.23    0.20    0.05    0.30
C04                     8.12    6.74    0.86   31.19   15.73   37.71    0.24    0.21    0.03    0.32
C05                    24.21   23.36   13.19   55.43    7.51   14.64    0.74    0.69    0.55    0.41
C06                    25.44   22.94    7.26   55.00   14.61   33.50    0.72    0.64    0.30    0.42
C07                    28.19   23.30    3.42   55.37   24.17   53.87    0.75    0.63    0.12    0.46
C08                    28.69   23.40    2.96   55.48   25.68   57.30    0.73    0.61    0.10    0.49
C09                    39.78   39.92   30.27   69.41    4.05    4.12    1.13    1.10    1.18    0.50
C10                    40.39   39.60   25.45   69.18    6.95   11.76    1.04    1.00    0.93    0.46
C11                    41.86   39.43   20.72   69.05   11.98   20.49    1.00    0.99    0.77    0.45
C12                    43.84   39.26   13.36   68.93   18.38   37.46    0.60    0.70    0.47    0.46
C13                    50.97   57.46   56.03   80.43  -11.39   -9.51    1.01    1.15    0.84    0.45
C14                    53.92   47.61   46.82   74.57   21.52   -9.39    1.06    1.12    1.01    0.47
C15                    63.34   64.08   37.49   84.00    3.58   18.70    1.28    1.37    1.46    0.50
C16                    39.56   40.68   36.58   69.94    1.06   -4.29    1.30    1.30    1.40    0.52
C17                    50.48   45.46   32.18   73.19   18.54    7.69    1.07    1.12    1.40    0.63
C18                    47.93   55.31   38.49   79.21  -14.34    9.09    1.46    1.58    1.71    0.61
C19                    38.42   37.96   45.06   67.98    5.89  -18.66    1.46    1.49    1.48    0.54
C20                     7.76   10.76   15.12   39.17  -21.96  -18.45    0.34    0.43    0.77    0.48
C21                     6.10    3.38    5.53   21.52   37.50  -16.52    0.23    0.12    0.24    0.45
C22                    14.22   14.01    1.61   44.24    4.47   50.00    0.45    0.43    0.05    0.46
D01                     4.13    4.42    3.07   25.01   -1.81    3.96    0.12    0.13    0.12    0.25
D02                     4.12    4.50    2.08   25.27   -3.04   12.52    0.12    0.13    0.09    0.24
D03                     4.29    4.65    1.35   25.70   -2.58   21.12    0.14    0.15    0.05    0.25
D04                     4.54    4.87    0.87   26.35   -2.04   29.11    0.15    0.16    0.03    0.26
D05                    17.70   18.54   10.27   50.14   -0.94   14.22    0.53    0.55    0.45    0.35
D06                    17.42   18.35    5.50   49.91   -1.48   32.57    0.47    0.49    0.20    0.35
D07                    17.09   18.15    2.50   49.68   -2.27   50.92    0.47    0.49    0.08    0.46
D08                    18.53   19.52    1.81   51.29   -1.53   60.08    0.49    0.52    0.05    0.56
D09                    46.34   48.42   26.42   75.08   -0.96   20.24    1.20    1.25    1.02    0.52
D10                    44.84   47.16   14.78   74.29   -1.82   42.95    1.08    1.15    0.52    0.46
D11                    44.19   47.58    7.29   74.55   -4.84   67.07    1.03    1.13    0.23    0.47
D12                    44.27   47.74    4.98   74.66   -5.04   77.87    1.02    1.09    0.14    0.53
D13                    48.25   55.79   55.94   79.49  -14.67  -11.04    0.96    1.10    0.84    0.43
D14                    49.67   41.94   42.76   70.82   26.57  -10.93    0.93    0.93    1.06    0.41
D15                    62.05   62.55   32.32   83.20    4.08   24.74    1.17    1.29    1.47    0.64
D16                    30.25   31.05   27.80   62.54    1.15   -3.70    1.07    1.04    1.32    0.58
D17                    43.79   37.76   24.37   67.84   22.96   11.39    0.93    0.92    1.14    0.53
D18                    43.01   50.76   32.17   76.53  -16.83   13.47    1.45    1.58    1.64    0.58
D19                    31.23   30.13   40.43   61.76    8.16  -23.58    1.27    1.23    1.48    0.45
D20                     4.51    6.18    8.57   29.86  -17.61  -14.90    0.22    0.27    0.48    0.38
D21                     3.76    2.23    3.60   16.65   28.79  -14.09    0.16    0.09    0.18    0.40
D22                     8.74    8.58    1.25   35.16    4.06   38.78    0.30    0.28    0.04    0.45
E01                     5.53    6.56    4.16   30.78   -8.86    6.78    0.16    0.18    0.16    0.28
E02                     5.18    6.62    2.47   30.92  -13.63   18.78    0.15    0.18    0.10    0.25
E03                     4.94    6.83    1.46   31.41  -18.67   29.67    0.14    0.18    0.05    0.27
E04                     5.03    7.04    1.40   31.90  -19.61   31.25    0.15    0.20    0.05    0.31
E05                    25.12   28.43   16.92   60.27   -9.44   13.59    0.80    0.89    0.76    0.53
E06                    22.35   27.89   10.24   59.78  -19.56   30.91    0.68    0.85    0.41    0.50
E07                    20.11   28.20    5.60   60.06  -31.33   49.57    0.54    0.75    0.19    0.50
E08                    18.06   26.76    3.93   58.74  -36.12   56.40    0.47    0.69    0.12    0.52
E09                    45.02   49.03   35.78   75.46   -6.37    6.35    1.21    1.25    1.30    0.48
E10                    41.63   47.84   26.85   74.72  -13.14   18.87    1.07    1.16    1.01    0.54
E11                    39.31   47.85   21.01   74.73  -20.36   29.68    0.94    1.07    0.75    0.43
E12                    36.87   47.72   14.73   74.64  -27.82   43.68    0.76    0.88    0.45    0.35
E13                    45.13   53.69   56.07   78.28  -18.16  -13.27    0.93    1.07    0.95    0.40
E14                    45.15   36.62   37.76   66.98   30.55  -11.02    0.95    0.90    1.25    0.48
E15                    60.02   60.57   25.75   82.14    3.88   33.59    1.11    1.29    1.25    0.64
E16                    22.97   23.77   20.76   55.85    0.20   -2.33    0.88    0.85    1.08    0.59
E17                    39.11   32.36   18.74   63.64   26.85   15.33    0.85    0.83    0.99    0.56
E18                    38.15   46.20   26.53   73.66  -19.46   17.62    1.43    1.63    1.53    0.61
E19                    25.31   23.91   35.67   55.98    9.81  -27.07    1.09    1.02    1.55    0.48
E20                     2.42    3.22    4.42   20.89  -12.68  -11.74    0.12    0.14    0.26    0.36
E21                     1.82    1.20    1.99   10.52   18.81  -12.00    0.08    0.05    0.10    0.34
E22                     4.10    4.13    0.90   24.08    1.79   24.70    0.14    0.14    0.03    0.33
F01                     3.57    4.60    3.71   25.56  -12.47    0.53    0.10    0.13    0.16    0.26
F02                     3.20    4.97    3.07   26.65  -23.14    6.82    0.09    0.14    0.13    0.28
F03                     2.94    5.43    2.73   27.92  -33.05   11.50    0.08    0.14    0.11    0.24
F04                     2.57    5.16    2.56   27.18  -36.79   11.66    0.08    0.16    0.11    0.24
F05                    12.98   15.48   12.31   46.28  -12.22    1.32    0.45    0.49    0.56    0.38
F06                    10.54   14.57   10.45   45.03  -24.01    4.79    0.34    0.43    0.45    0.40
F07                     9.08   14.69    9.25   45.20  -36.35    9.11    0.28    0.43    0.37    0.38
F08                     8.12   15.22    8.17   45.93  -47.84   14.27    0.22    0.41    0.30    0.45
F09                    29.95   34.41   27.70   65.28  -11.74    1.16    0.87    0.97    1.06    0.43
F10                    26.88   34.30   25.42   65.20  -23.36    4.95    0.76    0.92    0.93    0.47
F11                    23.62   34.31   22.96   65.20  -37.16    9.45    0.63    0.83    0.84    0.46
F12                    20.40   32.94   20.45   64.11  -47.40   12.51    0.44    0.60    0.70    0.48
F13                    41.22   50.02   54.97   76.08  -20.24  -15.91    0.82    0.99    0.78    0.37
F14                    41.47   32.11   34.80   63.43   35.04  -13.01    0.85    0.76    1.23    0.50
F15                    57.94   58.28   20.91   80.89    4.30   40.52    1.04    1.26    1.01    0.62
F16                    16.54   17.06   14.95   48.33    0.50   -2.23    0.62    0.60    0.81    0.45
F17                    34.54   27.20   13.67   59.15   31.14   19.76    0.71    0.67    0.73    0.49
F18                    33.71   42.09   21.06   70.92  -22.48   23.05    1.25    1.48    1.25    0.58
F19                    20.64   18.73   31.80   50.35   13.02  -31.10    0.90    0.80    1.52    0.50
F20                     0.96    1.27    1.51   11.07   -9.26   -6.01    0.05    0.06    0.09    0.31
F21                     0.73    0.52    0.76    4.70    9.04   -6.23    0.03    0.02    0.04    0.30
F22                     1.43    1.48    0.49   12.50   -0.03   12.26    0.05    0.05    0.02    0.25
G01                     2.55    3.18    3.09   20.74   -9.35   -3.52    0.08    0.10    0.14    0.28
G02                     2.42    3.47    3.53   21.83  -16.61   -4.71    0.08    0.11    0.16    0.28
G03                     2.29    3.79    3.86   22.97  -24.32   -4.86    0.08    0.12    0.18    0.32
G04                     1.89    3.58    3.95   22.21  -29.99   -6.73    0.08    0.13    0.22    0.33
G05                    13.47   15.65   14.52   46.51  -10.06   -4.27    0.48    0.51    0.69    0.44
G06                    11.45   15.18   15.20   45.88  -21.00   -7.07    0.40    0.47    0.70    0.50
G07                    10.10   15.38   15.92   46.14  -32.21   -8.41    0.36    0.51    0.71    0.46
G08                     9.11   15.57   16.20   46.40  -41.25   -8.64    0.28    0.43    0.64    0.53
G09                    30.35   34.36   31.84   65.24  -10.09   -5.51    0.89    0.98    1.17    0.48
G10                    27.64   35.01   33.36   65.75  -22.70   -6.91    0.79    0.93    1.18    0.51
G11                    24.47   35.00   35.24   65.74  -35.79   -9.65    0.66    0.83    1.20    0.50
G12                    22.78   34.76   35.63   65.56  -42.45  -10.53    0.56    0.70    1.15    0.55
G13                    38.64   48.14   54.58   74.91  -23.24  -17.50    0.80    1.00    0.83    0.38
G14                    37.43   27.39   31.18   59.33   40.04  -14.69    0.79    0.67    1.23    0.56
G15                    56.18   56.20   16.76   79.72    4.99   47.50    1.02    1.25    0.82    0.63
G16                    11.50   11.89   10.52   41.04    0.20   -2.28    0.44    0.43    0.56    0.40
G17                    30.19   22.26   10.05   54.30   36.50   22.11    0.58    0.53    0.50    0.41
G18                    29.68   38.55   17.10   68.42  -26.29   27.24    1.05    1.31    0.89    0.51
G19                    16.57   14.53   29.06   44.97   15.17  -36.09    0.72    0.63    1.33    0.52
G20                     8.55    3.97    0.21   23.58   52.34   36.64    0.29    0.13    0.01    0.63
G21                    10.34   16.56    2.73   47.69  -36.97   45.65    0.37    0.57    0.09    0.58
G22                     2.04    1.28    9.64   11.13   21.29  -50.96    0.07    0.05    0.33    0.39
H01                     2.73    3.21    3.96   20.87   -6.54   -9.12    0.10    0.11    0.20    0.37
H02                     2.67    3.48    5.36   21.86  -11.89  -15.12    0.09    0.11    0.27    0.46
H03                     2.58    3.73    6.61   22.74  -17.53  -19.38    0.11    0.13    0.35    0.52
H04                     2.41    3.70    7.77   22.65  -20.34  -24.31    0.11    0.14    0.42    0.50
H05                    10.70   12.52   14.39   42.02   -9.87  -11.66    0.36    0.38    0.64    0.44
H06                     9.40   12.19   18.15   41.51  -17.81  -21.54    0.33    0.36    0.82    0.60
H07                     8.66   12.60   22.46   42.15  -26.73  -29.32    0.28    0.35    0.91    0.60
H08                     8.55   12.59   23.53   42.13  -27.64  -31.40    0.26    0.33    0.86    0.58
H09                    31.81   34.13   34.40   65.06   -3.94   -9.62    0.91    0.95    1.17    0.48
H10                    30.32   33.91   38.42   64.88   -8.66  -15.53    0.85    0.92    1.13    0.40
H11                    29.30   34.15   42.31   65.07  -13.33  -20.28    0.86    1.01    1.19    0.54
H12                    27.53   34.98   49.92   65.72  -23.01  -28.24    0.70    0.95    0.78    0.59
H13                    35.48   45.64   54.37   73.31  -26.67  -20.05    0.76    0.99    0.72    0.43
H14                    33.91   23.39   28.24   55.47   44.84  -16.64    0.76    0.63    1.21    0.57
H15                    55.59   55.63   13.58   79.40    4.94   54.91    1.01    1.27    0.69    0.59
H16                     7.31    7.60    6.63   33.13   -0.22   -1.55    0.32    0.33    0.37    0.34
H17                    25.77   17.52    6.33   48.90   42.31   26.95    0.48    0.40    0.29    0.30
H18                    26.24   35.58   13.33   66.18  -30.27   32.81    0.94    1.23    0.66    0.51
H19                    12.28   10.33   24.89   38.42   16.94  -40.26    0.57    0.47    1.15    0.45
H20                     6.12    2.97    0.22   19.93   44.57   30.14    0.22    0.11    0.01    0.58
