IT8.7/1
ORIGINATOR          "Monaco Acquisition Company"
DESCRIPTOR          "IT8.7/1 Reference Data File, 4x5 Ektachrome"
CREATED             "Tuesday, October26, 2004"
MANUFACTURER        "Monaco Acquisition Company"
PROD_DATE           "2004:08"
SERIAL              "Batch Average Data"
MATERIAL            "Kodak Ektachrome Product Family"
NUMBER_OF_FIELDS          11
BEGIN_DATA_FORMAT
SAMPLE_ID           XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B   STDEV_X STDEV_Y STDEV_Z STDEV_DE
END_DATA_FORMAT
NUMBER_OF_SETS 288
#
BEGIN_DATA
#ID                      X       Y       Z       L       A       B     SD_X    SD_Y    SD_Z   SD_dE
A01                     1.89    1.64    1.21   13.46    7.89    1.87    0.11    0.09    0.06    0.39
A02                     2.32    1.61    1.01   13.30   18.00    4.45    0.13    0.09    0.05    0.43
A03                     2.76    1.55    0.79   12.92   28.20    7.48    0.15    0.08    0.05    0.47
A04                     3.15    1.57    0.70   13.04   34.59    9.30    0.16    0.08    0.04    0.50
A05                     8.39    7.34    5.50   32.56   12.17    2.68    0.39    0.33    0.31    0.43
A06                    10.22    7.38    4.71   32.64   26.95    6.88    0.48    0.34    0.29    0.57
A07                    12.24    7.44    4.08   32.79   40.96   10.76    0.62    0.36    0.26    0.77
A08                    16.37    8.48    3.60   34.96   57.18   17.47    0.36    0.21    0.23    0.60
A09                    24.80   24.34   19.71   56.41    5.79    0.81    1.22    1.13    1.30    0.83
A10                    27.10   24.78   18.87   56.84   13.46    3.36    1.34    1.15    1.26    0.81
A11                    29.50   25.07   17.69   57.13   21.61    6.46    1.46    1.17    1.22    0.81
A12                    32.89   25.91   17.18   57.94   30.58    9.01    1.28    1.05    1.18    0.81
A13                    56.96   61.64   54.78   82.71   -6.00   -4.25    2.04    2.18    1.84    0.65
A14                    60.85   59.81   52.40   81.72    7.62   -3.39    2.22    2.32    2.04    0.64
A15                    63.35   64.62   48.15   84.27    2.40    5.82    2.27    2.35    2.52    0.76
A16                    59.56   62.15   52.75   82.97   -0.87   -1.60    2.39    2.50    2.27    0.70
A17                    60.65   59.63   47.47   81.62    7.58    2.04    2.34    2.40    2.60    0.75
A18                    56.06   61.26   49.22   82.50   -7.34    1.53    2.40    2.51    2.60    0.80
A19                    55.08   57.20   53.61   80.27   -0.16   -7.20    2.64    2.84    2.21    0.89
A20                    15.59   22.22   32.31   54.24  -30.46  -25.12    1.06    1.36    2.45    0.96
A21                    12.29    6.31   10.02   30.16   52.57  -19.39    0.78    0.38    0.77    0.98
A22                    31.74   30.98    2.62   62.47    6.90   71.97    1.76    1.75    0.14    1.14
B01                     2.86    2.60    1.54   18.38    6.49    6.29    0.15    0.13    0.08    0.43
B02                     3.37    2.62    0.96   18.42   15.02   13.99    0.17    0.13    0.05    0.47
B03                     3.96    2.62    0.59   18.44   23.97   20.66    0.19    0.12    0.03    0.58
B04                     4.43    2.67    0.33   18.67   29.57   25.89    0.20    0.12    0.02    0.63
B05                    10.98   10.03    5.88   37.89   10.03   10.03    0.47    0.42    0.35    0.44
B06                    12.62    9.80    3.77   37.47   23.36   20.69    0.57    0.43    0.23    0.56
B07                    14.74    9.84    2.26   37.54   36.52   32.07    0.73    0.48    0.14    0.84
B08                    15.92   10.00    1.87   37.82   42.22   36.20    0.77    0.47    0.11    0.89
B09                    29.89   30.07   22.79   61.70    3.42    3.79    1.44    1.39    1.47    0.95
B10                    31.59   30.05   20.47   61.68    9.76    8.34    1.53    1.39    1.34    0.87
B11                    33.71   30.41   17.97   61.99   15.97   14.20    1.60    1.41    1.21    0.83
B12                    37.02   31.11   15.60   62.59   24.61   20.76    1.24    1.16    0.99    0.77
B13                    52.65   58.28   54.32   80.88   -8.98   -6.92    1.90    2.08    1.81    0.63
B14                    55.72   51.95   47.16   77.24   14.53   -5.18    2.08    2.10    2.16    0.67
B15                    62.30   63.01   39.79   83.44    3.60   14.69    2.03    2.14    2.58    0.95
B16                    49.63   52.27   44.60   77.42   -2.04   -1.78    2.33    2.40    2.58    0.78
B17                    53.57   50.73   36.72   76.49   12.28    6.87    2.17    2.19    2.55    0.93
B18                    49.67   55.72   40.59   79.44  -10.65    6.76    2.37    2.50    2.85    1.02
B19                    43.73   44.81   46.69   72.73    1.56  -12.36    2.46    2.53    2.54    0.95
B20                    10.32   14.58   20.58   45.03  -25.82  -20.56    0.70    0.84    1.69    0.99
B21                     8.10    4.37    6.83   24.84   42.86  -16.71    0.50    0.26    0.51    0.80
B22                    20.10   19.93    2.01   51.74    4.36   58.81    1.04    1.00    0.10    0.83
C01                     5.55    5.54    3.13   28.20    2.44    9.04    0.28    0.26    0.17    0.44
C02                     6.03    5.62    1.94   28.43    6.95   19.29    0.29    0.26    0.10    0.44
C03                     6.51    5.68    1.08   28.58   11.34   29.82    0.29    0.25    0.05    0.52
C04                     6.84    5.73    0.79   28.72   14.13   34.62    0.30    0.24    0.03    0.52
C05                    20.47   20.13   10.64   51.98    5.22   16.21    0.86    0.81    0.63    0.60
C06                    22.47   20.28    5.97   52.14   13.92   34.19    1.00    0.86    0.35    0.71
C07                    24.65   20.43    2.83   52.31   22.82   52.83    1.07    0.85    0.14    0.84
C08                    24.94   20.55    2.56   52.45   23.50   55.22    1.01    0.80    0.12    0.79
C09                    35.64   36.29   25.17   66.72    2.22    8.06    1.65    1.63    1.67    1.02
C10                    36.77   36.29   21.58   66.72    5.95   14.79    1.69    1.63    1.39    0.87
C11                    38.30   36.51   17.73   66.89   10.18   23.18    1.76    1.69    1.14    0.89
C12                    42.40   37.74   11.61   67.82   18.92   40.55    1.04    1.21    0.66    0.78
C13                    48.76   55.37   54.24   79.24  -12.24   -9.65    1.81    2.01    1.84    0.65
C14                    50.77   45.45   41.97   73.17   19.33   -5.85    2.00    1.92    2.29    0.73
C15                    60.62   60.86   32.72   82.29    4.62   22.61    1.75    1.96    2.29    1.09
C16                    37.60   39.61   33.67   69.16   -1.89   -1.42    2.02    2.03    2.43    0.95
C17                    47.22   42.46   27.99   71.17   18.33   10.91    1.74    1.73    2.12    1.03
C18                    44.13   50.53   33.80   76.37  -12.94   10.83    2.29    2.47    2.65    1.09
C19                    35.46   35.52   41.36   66.12    4.10  -17.20    2.14    2.10    2.66    0.91
C20                     6.89    9.70   12.88   37.28  -22.23  -15.73    0.46    0.55    1.06    0.80
C21                     5.17    2.97    4.50   19.89   33.79  -13.88    0.34    0.19    0.37    0.70
C22                    12.69   12.71    1.55   42.31    2.92   47.35    0.63    0.60    0.08    0.66
D01                     3.67    3.94    2.46   23.48   -2.05    6.06    0.20    0.20    0.14    0.42
D02                     3.71    3.96    1.78   23.54   -1.74   12.54    0.20    0.20    0.10    0.40
D03                     3.74    4.02    1.20   23.73   -2.10   19.77    0.19    0.20    0.07    0.43
D04                     3.83    4.15    0.80   24.16   -2.57   26.55    0.18    0.19    0.04    0.46
D05                    15.40   16.40    8.76   47.48   -2.38   14.79    0.66    0.67    0.54    0.58
D06                    15.03   16.17    4.62   47.19   -3.32   32.44    0.64    0.67    0.26    0.54
D07                    14.74   16.01    2.30   46.97   -4.14   47.94    0.62    0.65    0.10    0.62
D08                    16.19   17.51    1.73   48.88   -3.86   56.77    0.63    0.68    0.07    0.66
D09                    41.19   43.46   22.51   71.84   -2.14   21.82    1.82    1.92    1.47    1.05
D10                    41.62   43.96   12.81   72.19   -2.32   44.59    1.80    1.94    0.72    1.08
D11                    40.93   43.60    6.36   71.94   -3.37   66.55    1.84    2.01    0.33    1.15
D12                    41.16   44.23    4.48   72.36   -4.49   76.66    1.77    1.95    0.20    1.15
D13                    44.96   52.34   53.21   77.47  -15.21  -11.60    1.74    1.98    1.96    0.60
D14                    46.12   39.30   37.50   68.95   24.81   -7.23    1.81    1.64    2.25    0.77
D15                    58.91   59.06   26.77   81.31    4.78   30.44    1.57    1.86    1.90    1.01
D16                    27.68   29.26   24.77   60.99   -2.14   -1.09    1.54    1.53    1.90    0.87
D17                    41.57   35.77   21.36   66.33   22.83   14.56    1.41    1.35    1.53    0.83
D18                    39.12   46.52   27.51   73.86  -17.29   16.35    2.11    2.38    2.27    1.05
D19                    28.15   27.57   35.91   59.48    6.23  -21.34    1.76    1.61    2.60    1.02
D20                     4.01    5.48    7.17   28.03  -16.61  -12.62    0.29    0.35    0.62    0.61
D21                     3.19    1.97    2.72   15.32   25.50  -10.11    0.23    0.13    0.23    0.62
D22                     7.27    7.33    1.12   32.52    2.05   36.01    0.39    0.37    0.06    0.59
E01                     4.85    5.61    3.21   28.39   -6.86    8.78    0.25    0.27    0.18    0.41
E02                     4.57    5.74    2.09   28.74  -12.01   18.40    0.24    0.28    0.11    0.40
E03                     4.29    5.92    1.33   29.21  -17.77   27.40    0.21    0.27    0.06    0.48
E04                     4.17    5.81    1.19   28.93  -18.14   28.78    0.20    0.26    0.06    0.45
E05                    21.63   24.99   13.71   57.05  -11.13   16.06    0.97    1.09    0.81    0.78
E06                    19.34   24.49    8.55   56.55  -20.12   31.18    0.93    1.19    0.49    0.87
E07                    17.73   24.79    4.66   56.85  -29.76   48.91    0.86    1.23    0.24    1.00
E08                    17.06   25.06    3.57   57.11  -34.53   55.84    0.77    1.17    0.16    0.97
E09                    39.96   44.06   29.56   72.25   -7.68   10.18    1.85    1.99    1.90    1.02
E10                    37.82   44.21   23.02   72.35  -14.88   21.71    1.68    1.91    1.47    1.05
E11                    35.68   43.88   17.97   72.13  -20.98   31.67    1.52    1.84    1.07    1.03
E12                    34.32   44.77   12.81   72.73  -28.16   45.52    1.23    1.55    0.71    0.94
E13                    41.45   49.48   52.66   75.73  -18.10  -14.00    1.56    1.84    1.90    0.60
E14                    41.52   33.69   34.14   64.70   29.67   -9.82    1.64    1.36    2.13    0.82
E15                    56.97   56.82   22.48   80.07    5.44   36.06    1.45    1.79    1.47    0.88
E16                    20.19   21.21   18.02   53.16   -1.29   -1.13    1.06    1.03    1.30    0.74
E17                    36.05   29.40   15.78   61.12   27.74   17.80    1.18    1.07    1.11    0.70
E18                    34.08   41.82   22.40   70.72  -20.39   20.12    1.81    2.15    1.76    0.91
E19                    22.70   21.66   31.55   53.64    8.44  -25.00    1.39    1.19    2.39    1.13
E20                     2.06    2.74    3.28   18.94  -12.01   -7.99    0.14    0.16    0.28    0.52
E21                     1.66    1.14    1.46   10.13   16.45   -7.09    0.12    0.07    0.12    0.50
E22                     3.50    3.53    0.76   22.04    1.50   23.75    0.20    0.18    0.04    0.48
F01                     3.21    4.07    2.98   23.88  -11.05    2.65    0.16    0.19    0.17    0.40
F02                     2.73    4.16    2.54   24.18  -20.88    6.61    0.13    0.19    0.14    0.38
F03                     2.36    4.30    2.21   24.64  -30.09   10.28    0.12    0.20    0.12    0.43
F04                     2.15    4.32    1.99   24.70  -34.78   12.44    0.11    0.20    0.11    0.44
