IT8.7/1
ORIGINATOR          "Monaco Acquisition Company"
DESCRIPTOR          "IT8.7/1 Reference Data File, 4x5 Ektachrome"
CREATED             "Tuesday, June 21, 2005"
MANUFACTURER        "Monaco Acquisition Company"
PROD_DATE           "2005:26"
SERIAL              "Batch Average Data"
MATERIAL            "Kodak Ektachrome Product Family"
NUMBER_OF_FIELDS          11
BEGIN_DATA_FORMAT
SAMPLE_ID           XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B   STDEV_X STDEV_Y STDEV_Z STDEV_DE
END_DATA_FORMAT
NUMBER_OF_SETS 288
#
BEGIN_DATA
#ID                      X       Y       Z       L       A       B     SD_X    SD_Y    SD_Z   SD_dE
A01                     2.26    1.99    1.51   15.44    7.49    1.56    0.12    0.11    0.09    0.61
A02                     2.83    1.97    1.23   15.30   19.27    4.73    0.14    0.10    0.08    0.75
A03                     3.43    1.95    1.06   15.22   29.76    7.02    0.16    0.09    0.07    0.77
A04                     3.86    1.96    0.90   15.28   36.20    9.55    0.18    0.09    0.06    0.78
A05                     9.95    8.65    6.75   35.29   13.36    1.65    0.49    0.38    0.41    0.55
A06                    11.57    8.27    5.64   34.53   28.74    5.38    0.52    0.34    0.34    0.58
A07                    14.03    8.51    4.99   35.01   43.05    9.47    0.58    0.32    0.31    0.64
A08                    16.51    8.71    4.11   35.43   55.95   15.11    0.33    0.18    0.29    0.65
A09                    27.95   27.15   21.95   59.10    7.13    0.94    1.44    1.31    1.63    0.91
A10                    29.81   27.15   20.74   59.10   14.30    3.34    1.41    1.19    1.43    0.87
A11                    32.57   27.64   19.81   59.55   22.53    6.03    1.41    1.16    1.45    0.91
A12                    34.73   27.83   18.73   59.73   29.29    8.64    1.13    0.97    1.32    0.86
A13                    58.60   63.77   52.41   83.84   -6.86    0.25    1.98    2.05    1.92    0.55
A14                    59.26   58.24   48.59   80.86    7.56   -0.60    2.07    2.18    2.02    0.57
A15                    62.91   65.23   49.28   84.59    0.04    5.06    1.97    2.02    2.11    0.58
A16                    61.58   64.31   51.37   84.12   -1.01    1.88    1.93    1.98    1.91    0.52
A17                    59.49   58.96   47.42   81.26    6.40    1.45    1.97    2.04    2.04    0.58
A18                    58.78   64.12   50.17   84.02   -7.21    3.05    1.99    2.05    2.12    0.59
A19                    55.49   57.37   49.33   80.37    0.45   -2.28    2.15    2.26    2.15    0.65
A20                    16.57   23.67   32.95   55.74  -31.36  -23.52    0.85    1.10    1.92    0.79
A21                    13.00    6.77   10.11   31.26   52.60  -17.81    0.53    0.27    0.65    0.79
A22                    34.86   33.88    2.96   64.86    7.64   73.49    1.34    1.37    0.12    0.83
B01                     3.41    3.06    1.87   20.29    7.68    5.96    0.15    0.12    0.07    0.42
B02                     4.14    3.17    1.20   20.70   16.80   14.51    0.19    0.13    0.05    0.49
B03                     4.75    3.17    0.72   20.71   25.07   22.14    0.22    0.13    0.03    0.52
B04                     5.27    3.16    0.39   20.66   31.62   28.31    0.24    0.14    0.02    0.61
B05                    12.64   11.37    7.14   40.19   11.76    8.44    0.60    0.50    0.47    0.54
B06                    14.69   11.45    4.67   40.32   24.24   20.35    0.62    0.47    0.30    0.48
B07                    17.12   11.48    2.88   40.37   37.98   31.86    0.69    0.45    0.18    0.53
B08                    17.65   11.02    2.20   39.60   44.20   36.15    0.61    0.37    0.12    0.49
B09                    32.84   32.66   25.26   63.86    4.85    2.98    1.62    1.53    1.87    0.92
B10                    34.74   32.78   22.19   63.97   11.02    8.86    1.58    1.43    1.57    0.87
B11                    37.59   33.76   19.99   64.76   17.11   14.64    1.51    1.36    1.44    0.79
B12                    38.90   33.26   17.48   64.36   23.02   19.41    1.10    1.07    1.23    0.81
B13                    54.41   60.84   51.98   82.28  -10.50   -1.97    1.79    1.88    1.85    0.51
B14                    54.59   50.96   45.49   76.64   14.26   -4.23    1.83    1.89    1.87    0.57
B15                    60.47   62.45   39.83   83.14    0.60   14.11    1.88    1.94    2.29    0.85
B16                    52.77   54.61   45.81   78.80    0.30   -0.88    1.93    2.03    2.03    0.58
B17                    52.63   49.78   36.42   75.92   12.37    6.27    1.77    1.80    2.09    0.69
B18                    53.24   59.53   41.41   81.57  -10.42    9.35    1.91    2.01    2.28    0.75
B19                    44.95   45.46   45.52   73.18    3.22  -10.23    1.88    1.93    2.00    0.63
B20                    11.35   16.03   21.91   47.00  -26.56  -19.86    0.57    0.70    1.38    0.85
B21                     9.08    4.93    7.37   26.51   44.15  -16.07    0.37    0.20    0.45    0.71
B22                    22.93   22.57    2.23   54.62    5.34   61.74    0.88    0.87    0.09    0.69
C01                     6.66    6.53    3.79   30.71    3.80    8.95    0.30    0.25    0.16    0.46
C02                     7.09    6.57    2.41   30.79    7.76   19.11    0.31    0.26    0.11    0.46
C03                     7.51    6.50    1.28   30.62   12.50   30.55    0.32    0.26    0.05    0.54
C04                     7.79    6.54    0.94   30.74   14.67   35.62    0.33    0.26    0.04    0.57
C05                    23.36   22.66   12.22   54.70    6.86   16.14    1.08    0.99    0.80    0.61
C06                    25.32   22.84    6.77   54.90   14.54   35.38    1.06    0.93    0.42    0.48
C07                    27.50   23.02    3.32   55.09   22.68   54.05    1.05    0.88    0.18    0.51
C08                    28.08   23.20    2.96   55.27   24.19   56.93    0.98    0.80    0.15    0.49
C09                    38.78   39.30   27.84   68.95    2.85    7.32    1.80    1.77    2.01    0.92
C10                    40.08   39.51   23.67   69.10    6.26   14.90    1.69    1.65    1.68    0.85
C11                    42.58   40.46   19.73   69.78   10.94   23.83    1.51    1.48    1.39    0.80
C12                    42.65   38.69   12.65   68.52   16.62   38.73    0.97    1.08    0.79    0.64
C13                    50.65   57.49   51.47   80.45  -12.32   -4.57    1.63    1.78    1.77    0.44
C14                    50.89   45.61   42.40   73.28   19.19   -6.22    1.57    1.53    1.78    0.43
C15                    59.09   60.83   34.04   82.28    1.07   20.62    1.71    1.81    2.05    0.85
C16                    39.55   41.10   33.90   70.23   -0.22    0.05    1.63    1.65    2.03    0.74
