IT8.7/1
ORIGINATOR          "Monaco Acquisition Company"
DESCRIPTOR          "IT8.7/1 Reference Data File, 4x5 Ektachrome"
CREATED             "Thursday, August 25, 2005"
MANUFACTURER        "X-Rite, Inc."
PROD_DATE           "2005:08"
SERIAL              "Batch Average Data"
MATERIAL            "Kodak Ektachrome Product Family"
NUMBER_OF_FIELDS          11
BEGIN_DATA_FORMAT
SAMPLE_ID           XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B   STDEV_X STDEV_Y STDEV_Z STDEV_DE
END_DATA_FORMAT
NUMBER_OF_SETS 288
#
BEGIN_DATA
#ID                      X       Y       Z       L       A       B     SD_X    SD_Y    SD_Z   SD_dE
A01                     1.72    1.52    1.06   12.71    6.94    2.60    0.05    0.05    0.05    0.18
A02                     2.16    1.47    0.86   12.38   18.50    5.20    0.07    0.05    0.04    0.20
A03                     2.61    1.45    0.73   12.27   28.22    7.42    0.10    0.05    0.03    0.26
A04                     3.03    1.55    0.66   12.91   33.19    9.77    0.11    0.06    0.03    0.25
A05                     8.29    7.20    5.27   32.24   12.71    3.26    0.30    0.27    0.30    0.39
A06                     9.98    7.17    4.53   32.19   27.04    7.12    0.32    0.23    0.23    0.33
A07                    12.23    7.42    3.86   32.74   41.06   12.03    0.40    0.24    0.21    0.32
A08                    15.67    8.23    3.32   34.45   55.37   18.52    0.25    0.15    0.19    0.46
A09                    24.43   23.93   18.78   56.00    5.97    2.10    1.01    0.99    1.18    0.72
A10                    26.21   23.98   17.63   56.05   13.28    4.71    1.04    0.95    1.09    0.66
A11                    29.12   24.66   16.59   56.74   21.90    8.29    1.05    0.91    0.98    0.64
A12                    31.79   25.29   15.87   57.35   29.20   11.06    0.91    0.78    0.83    0.53
A13                    56.89   62.28   48.84   83.06   -7.64    2.88    1.63    1.79    1.53    0.52
A14                    58.44   58.66   46.82   81.09    4.59    1.86    1.89    2.08    1.58    0.60
A15                    59.58   63.02   44.85   83.44   -2.80    8.27    1.93    2.09    1.83    0.54
A16                    54.98   58.12   46.27   80.79   -2.65    1.99    1.98    2.19    1.68    0.55
A17                    58.30   58.88   44.82   81.21    3.75    4.46    2.01    2.18    1.76    0.57
A18                    56.45   61.99   46.60   82.89   -8.04    5.22    1.99    2.19    1.79    0.50
A19                    55.32   58.39   47.91   80.93   -2.43    0.32    2.33    2.57    1.95    0.65
A20                    15.01   21.74   36.96   53.73  -31.69  -32.74    0.87    1.27    1.95    0.72
A21                    14.32    7.12   10.34   32.07   57.54  -17.14    0.63    0.31    0.72    0.70
