IT8.7/1
ORIGINATOR          "Monaco Acquisition Company"
DESCRIPTOR          "IT8.7/1 Reference Data File, 4x5 Ektachrome"
CREATED             "Tuesday, October 18, 2005"
MANUFACTURER        "Monaco Acquisition Company"
PROD_DATE           "2005:09"
SERIAL              "Batch Average Data"
MATERIAL            "Kodak Ektachrome Product Family"
NUMBER_OF_FIELDS          11
BEGIN_DATA_FORMAT
SAMPLE_ID           XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B   STDEV_X STDEV_Y STDEV_Z STDEV_DE
END_DATA_FORMAT
NUMBER_OF_SETS 288
#
BEGIN_DATA
#ID                      X       Y       Z       L       A       B     SD_X    SD_Y    SD_Z   SD_dE
A01                     1.86    1.63    1.07   13.39    7.22    3.68    0.16    0.13    0.09    0.38
A02                     2.34    1.59    0.87   13.17   18.79    6.54    0.22    0.15    0.08    0.52
A03                     2.87    1.61    0.75   13.26   28.64    8.77    0.25    0.14    0.06    0.57
A04                     3.26    1.68    0.68   13.70   33.55   10.86    0.28    0.14    0.06    0.60
A05                     8.65    7.51    5.23   32.92   12.83    4.69    0.69    0.58    0.47    0.57
A06                    10.33    7.43    4.43   32.73   27.28    8.63    0.75    0.53    0.40    0.54
A07                    12.68    7.71    3.82   33.36   41.37   13.32    0.89    0.54    0.34    0.60
A08                    16.03    8.46    3.31   34.93   55.38   19.42    0.51    0.31    0.27    0.44
A09                    24.93   24.49   18.73   56.55    5.69    3.17    1.63    1.55    1.52    0.57
A10                    26.71   24.49   17.65   56.54   13.10    5.55    1.78    1.62    1.47    0.53
A11                    29.53   25.07   16.47   57.11   21.78    9.27    1.85    1.59    1.36    0.58
A12                    32.00   25.52   15.59   57.55   29.05   12.13    1.66    1.47    1.31    0.56
A13                    56.94   62.43   49.07   83.12   -7.85    2.75    2.79    2.98    2.39    0.60
A14                    58.83   59.19   47.24   81.36    4.30    1.86    3.00    3.30    2.44    0.76
A15                    59.99   63.53   45.53   83.69   -2.97    7.91    2.88    3.09    2.54    0.65
A16                    55.60   58.87   47.09   81.19   -2.88    1.73    3.04    3.29    2.40    0.81
A17                    58.94   59.71   45.69   81.65    3.34    4.18    2.96    3.23    2.40    0.76
A18                    56.90   62.58   47.50   83.20   -8.29    4.70    2.72    2.89    2.26    0.67
A19                    56.09   59.36   49.01   81.46   -2.82   -0.03    2.92    3.18    2.07    0.84
A20                    15.68   22.64   38.26   54.66  -31.81  -32.91    1.09    1.62    2.03    0.76
A21                    14.83    7.40   10.69   32.67   58.02  -17.22    0.92    0.47    0.82    0.82
A22                    44.08   40.40    2.77   69.73   15.59   83.36    1.71    2.01    0.18    1.02
B01                     2.93    2.66    1.39   18.59    6.83    8.38    0.25    0.20    0.11    0.45
B02                     3.50    2.69    0.90   18.71   15.76   15.50    0.31    0.22    0.07    0.60
B03                     4.09    2.71    0.55   18.80   24.19   22.11    0.33    0.21    0.04    0.69
B04                     4.73    2.78    0.28   19.13   31.48   27.70    0.38    0.22    0.02    0.81
B05                    11.05    9.94    5.49   37.70   11.30   11.59    0.85    0.76    0.47    0.51
B06                    12.95   10.01    3.65   37.84   23.83   22.14    0.91    0.71    0.31    0.56
B07                    15.55   10.41    2.26   38.53   36.99   33.77    1.06    0.71    0.20    0.65
B08                    17.93   10.54    1.37   38.79   49.18   43.44    0.79    0.51    0.10    0.40
B09                    29.75   29.97   21.66   61.59    3.26    5.82    2.02    1.98    1.73    0.51
B10                    31.09   29.66   18.76   61.32    9.41   11.33    2.02    1.91    1.52    0.50
B11                    34.04   30.59   16.79   62.13   16.50   17.17    2.10    1.93    1.41    0.54
B12                    36.49   31.24   15.20   62.68   22.42   21.96    1.77    1.72    1.23    0.51
B13                    52.68   57.76   47.77   80.58   -7.65   -0.12    2.87    3.10    2.43    0.68
B14                    53.08   53.30   45.63   78.01    4.42   -2.02    3.06    3.29    2.38    0.82
B15                    55.08   58.39   44.10   80.92   -3.06    4.88    3.08    3.30    2.59    0.75
