IT8.7/1
ORIGINATOR          "X-Rite, Inc."
DESCRIPTOR          "IT8.7/1 Reference Data File, 4x5 Ektachrome"
CREATED             "Sunday, February 19, 2006"
MANUFACTURER        "X-Rite, Inc."
PROD_DATE           "2006:01"
SERIAL              "Batch Average Data"
MATERIAL            "Kodak Ektachrome Product Family"
NUMBER_OF_FIELDS          11
BEGIN_DATA_FORMAT
SAMPLE_ID           XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B   STDEV_X STDEV_Y STDEV_Z STDEV_DE
END_DATA_FORMAT
NUMBER_OF_SETS 288
#
BEGIN_DATA
#ID                      X       Y       Z       L       A       B     SD_X    SD_Y    SD_Z   SD_dE
A01                     1.73    1.51    1.19   12.58    7.53    0.76    0.25    0.26    0.27    1.32
A02                     2.16    1.48    0.97   12.44   18.19    3.71    0.24    0.24    0.24    1.59
A03                     2.80    1.58    0.85   13.08   28.30    6.86    0.22    0.19    0.19    1.48
A04                     3.23    1.68    0.77   13.67   33.17    9.26    0.22    0.17    0.16    1.34
A05                     8.29    7.05    5.54   31.90   14.21    1.39    0.45    0.39    0.51    0.60
A06                    10.06    7.11    4.68   32.04   28.24    6.07    0.47    0.35    0.43    0.59
A07                    12.38    7.38    4.09   32.64   42.51   10.47    0.57    0.36    0.40    0.64
A08                    16.32    8.47    3.61   34.95   56.99   17.45    0.32    0.22    0.36    0.79
A09                    24.29   23.40   19.62   55.46    7.67   -0.61    1.30    1.22    1.53    0.88
A10                    26.64   23.79   18.63   55.86   15.85    2.19    1.32    1.15    1.45    0.86
A11                    29.21   24.14   17.33   56.21   24.47    5.71    1.29    1.09    1.31    0.85
A12                    32.47   25.21   16.63   57.27   31.99    9.14    1.06    0.94    1.27    0.90
A13                    58.24   62.44   49.86   83.14   -4.71    1.87    1.81    1.89    1.57    0.63
A14                    58.98   58.55   47.43   81.03    6.15    1.04    1.79    1.85    1.51    0.67
A15                    61.16   63.28   47.00   83.58    0.34    5.94    1.82    1.88    1.57    0.66
A16                    56.47   58.62   47.28   81.07   -0.12    1.28    1.88    1.96    1.57    0.64
A17                    59.44   59.39   46.44   81.49    5.27    2.99    1.87    1.90    1.63    0.62
A18                    58.46   62.83   48.30   83.34   -5.05    4.00    1.89    1.95    1.62    0.52
A19                    56.80   58.97   49.29   81.26   -0.14   -0.71    2.05    2.12    1.72    0.55
A20                    15.32   21.91   37.83   53.92  -30.60  -33.64    0.61    0.86    1.28    0.59
A21                    15.74    7.73   10.66   33.42   60.22  -15.86    0.46    0.23    0.51    0.64
A22                    43.70   39.57    2.64   69.15   17.00   83.33    1.00    1.08    0.09    0.70
B01                     2.62    2.35    1.44   17.20    7.15    5.34    0.13    0.12    0.10    0.33
B02                     3.19    2.39    0.92   17.41   16.50   12.92    0.18    0.14    0.07    0.38
B03                     3.74    2.40    0.53   17.47   24.96   20.21    0.18    0.12    0.04    0.41
B04                     4.34    2.47    0.24   17.77   32.21   26.02    0.19    0.11    0.02    0.54
B05                    10.98    9.62    5.96   37.14   13.21    8.40    0.53    0.48    0.51    0.57
B06                    12.84    9.72    3.92   37.32   25.41   19.55    0.82    0.65    0.40    0.84
B07                    15.08    9.81    2.32   37.49   38.75   31.48    0.66    0.47    0.21    0.48
B08                    18.00   10.34    1.37   38.43   51.08   42.91    0.54    0.38    0.12    0.34
B09                    29.38   28.72   23.23   60.51    6.56    0.93    1.63    1.59    1.74    0.89
B10                    31.27   28.94   20.24   60.71   12.79    7.13    1.53    1.40    1.52    0.81
B11                    33.85   29.68   18.02   61.36   19.22   13.01    1.40    1.26    1.33    0.80
B12                    36.44   30.31   15.88   61.91   25.65   18.93    1.09    1.07    1.20    0.83
B13                    53.21   57.42   48.21   80.40   -5.46   -0.95    1.87    1.99    1.70    0.67
B14                    53.57   53.02   45.40   77.87    6.38   -2.00    1.82    1.87    1.52    0.66
B15                    56.57   58.98   45.31   81.27   -0.75    3.96    1.81    1.89    1.58    0.62
B16                    49.69   51.35   44.16   76.88    0.48   -2.22    1.78    1.87    1.56    0.62
B17                    53.63   53.36   43.92   78.08    5.65    0.14    1.86    1.88    1.61    0.64
B18                    53.05   57.47   46.30   80.43   -5.98    1.33    1.73    1.81    1.53    0.57
B19                    50.49   52.21   46.72   77.39    0.41   -4.40    1.84    1.91    1.60    0.62
B20                     9.59   13.65   24.92   43.71  -25.79  -31.20    0.40    0.51    1.06    0.56
B21                     9.39    4.72    7.56   25.92   49.28  -17.86    0.34    0.18    0.37    0.59
B22                    26.55   24.07    2.00   56.15   14.25   66.50    0.93    0.83    0.08    0.69
C01                     5.46    5.25    3.11   27.43    4.72    7.90    0.27    0.26    0.23    0.42
C02                     5.64    5.05    1.81   26.86    9.23   17.92    0.28    0.27    0.13    0.45
C03                     6.05    5.05    0.99   26.86   13.90   28.13    0.27    0.24    0.07    0.43
C04                     6.55    5.20    0.62   27.27   17.50   35.37    0.29    0.24    0.04    0.48
C05                    20.80   19.99   11.01   51.81    7.53   14.78    0.92    0.88    0.87    0.67
C06                    22.47   19.96    5.98   51.78   15.48   33.54    0.95    0.86    0.49    0.64
C07                    25.29   20.53    2.76   52.41   25.14   53.58    0.98    0.84    0.20    0.58
C08                    29.37   22.12    1.48   54.14   34.04   68.61    0.73    0.70    0.09    0.51
C09                    35.58   35.48   26.15   66.10    4.65    5.29    1.72    1.70    1.86    0.88
C10                    36.46   35.32   21.66   65.98    8.13   13.36    1.63    1.58    1.56    0.80
C11                    39.09   36.54   17.80   66.91   12.63   23.08    1.45    1.42    1.26    0.72
C12                    41.07   37.16   15.26   67.39   16.73   29.90    1.30    1.36    1.12    0.73
C13                    47.42   54.77   48.99   78.90  -14.42   -4.45    1.60    1.76    1.59    0.57
C14                    48.59   43.97   42.26   72.19   17.69   -7.93    1.68    1.64    1.54    0.65
C15                    56.03   58.89   38.16   81.22   -1.86   13.01    1.84    1.89    1.88    0.73
C16                    36.94   38.21   33.71   68.16    0.33   -3.25    1.57    1.59    1.70    0.71
C17                    46.15   42.44   32.97   71.16   15.37    3.02    1.60    1.54    1.57    0.63
C18                    45.04   52.77   38.80   77.73  -16.10    6.12    1.55    1.69    1.71    0.62
C19                    40.34   41.06   43.76   70.20    2.33  -13.23    1.57    1.61    1.50    0.62
C20                     5.92    8.70   15.45   35.40  -24.34  -25.76    0.28    0.36    0.77    0.57
C21                     5.55    2.86    5.13   19.47   40.12  -18.05    0.24    0.13    0.28    0.48
C22                    15.96   15.06    1.52   45.70    8.51   53.60    0.54    0.49    0.06    0.51
D01                     3.46    3.64    2.15   22.43   -0.76    6.99    0.18    0.19    0.16    0.40
D02                     3.30    3.50    1.32   21.95   -1.33   15.11    0.16    0.17    0.09    0.37
D03                     3.35    3.53    0.80   22.05   -0.92   23.00    0.17    0.17    0.05    0.42
D04                     3.52    3.71    0.65   22.67   -0.89   26.76    0.17    0.19    0.05    0.46
D05                    15.44   16.10    8.86   47.10   -0.50   13.81    0.73    0.74    0.76    0.68
D06                    15.45   16.26    4.72   47.30   -1.32   32.15    0.65    0.69    0.38    0.53
D07                    15.29   16.18    2.19   47.19   -1.79   49.28    0.63    0.68    0.15    0.56
D08                    15.90   16.71    1.65   47.88   -1.23   55.82    0.66    0.71    0.10    0.62
D09                    41.78   43.27   22.76   71.72    0.16   21.15    1.92    2.02    1.83    0.92
D10                    42.88   45.28   13.69   73.06   -2.30   43.72    1.62    1.77    0.96    0.67
D11                    41.92   44.41    6.52   72.49   -2.69   66.80    1.51    1.65    0.43    0.56
D12                    41.58   44.61    3.57   72.62   -4.30   82.64    1.40    1.51    0.21    0.70
D13                    42.36   51.46   49.20   76.95  -20.57   -8.06    1.35    1.54    1.42    0.51
D14                    43.43   36.35   38.49   66.77   26.44  -12.36    1.46    1.34    1.50    0.59
D15                    55.62   58.91   29.65   81.23   -2.94   25.52    1.87    1.95    1.80    0.75
D16                    27.06   27.80   24.53   59.69    1.02   -2.92    1.19    1.17    1.43    0.71
D17                    39.15   33.64   23.71   64.66   22.53    7.16    1.38    1.26    1.45    0.75
D18                    39.75   49.66   31.22   75.85  -23.81   13.77    1.44    1.62    1.80    0.81
D19                    31.36   31.35   40.62   62.79    4.19  -22.05    1.25    1.26    1.41    0.55
D20                     3.38    5.00    9.08   26.71  -20.59  -22.15    0.18    0.23    0.50    0.53
D21                     3.16    1.73    3.38   14.01   30.57  -17.14    0.15    0.09    0.21    0.46
D22                     8.46    8.19    1.05   34.37    5.02   40.17    0.31    0.29    0.05    0.39
E01                     4.76    5.42    3.28   27.88   -5.80    7.44    0.21    0.24    0.21    0.41
E02                     4.18    5.25    1.98   27.42  -11.51   17.23    0.21    0.26    0.13    0.48
E03                     3.86    5.33    1.25   27.66  -17.13   25.83    0.17    0.24    0.08    0.46
E04                     3.92    5.49    0.98   28.09  -18.19   30.38    0.17    0.24    0.06    0.46
E05                    21.40   24.19   14.41   56.26   -8.82   12.88    0.97    1.05    1.16    0.75
E06                    19.66   24.46    8.79   56.53  -18.39   30.30    0.80    0.99    0.66    0.62
E07                    18.24   25.16    4.65   57.22  -28.62   49.63    0.72    0.99    0.31    0.53
E08                    17.31   25.54    3.48   57.59  -35.15   57.31    0.70    1.00    0.21    0.59
E09                    40.48   44.13   30.68   72.29   -6.28    8.50    1.89    1.99    2.18    0.89
E10                    38.27   44.39   23.61   72.47  -13.96   20.82    1.60    1.78    1.62    0.76
E11                    36.88   44.95   18.96   72.84  -20.06   30.74    1.45    1.67    1.31    0.77
E12                    36.41   46.84   15.47   74.08  -26.90   40.90    1.22    1.42    1.04    0.73
E13                    38.74   48.87   49.45   75.36  -24.89  -11.08    1.17    1.37    1.32    0.45
E14                    38.99   30.40   35.09   61.99   33.56  -15.90    1.28    1.11    1.46    0.55
E15                    56.34   60.20   23.67   81.93   -4.18   37.02    1.84    1.94    1.52    0.79
E16                    19.48   20.21   17.35   52.06   -0.04   -1.53    0.85    0.83    1.08    0.69
E17                    34.44   27.67   17.10   59.58   28.95   12.01    0.99    0.88    1.10    0.73
E18                    35.89   47.22   24.86   74.32  -29.70   21.72    1.18    1.38    1.43    0.76
E19                    23.81   23.30   36.47   55.37    5.99  -29.25    0.94    0.92    1.28    0.52
E20                     1.44    2.14    3.91   16.22  -15.84  -16.81    0.09    0.11    0.22    0.41
E21                     1.31    0.80    1.69    7.18   19.29  -14.72    0.07    0.05    0.12    0.37
E22                     3.23    3.23    0.66   20.93    1.99   23.64    0.13    0.13    0.04    0.33
F01                     2.94    3.64    2.89   22.43   -9.49    0.86    0.14    0.17    0.19    0.38
F02                     2.56    3.88    2.51   23.25  -19.99    5.32    0.13    0.19    0.17    0.40
F03                     2.35    4.19    2.20   24.29  -28.76    9.76    0.11    0.18    0.15    0.36
F04                     2.17    4.24    1.95   24.43  -33.20   12.36    0.12    0.21    0.14    0.40
F05                    10.36   13.02   10.04   42.78  -15.71    2.30    0.52    0.59    0.82    0.72
F06                     8.02   12.64    8.17   42.21  -32.69    7.88    0.40    0.56    0.62    0.61
