IT8.7/1
ORIGINATOR          "Monaco Acquisition Company"
DESCRIPTOR          "IT8.7/1 Reference Data File, 4x5 Ektachrome"
CREATED             "Tuesday, January 2, 2007"
MANUFACTURER        "Monaco Acquisition Company"
PROD_DATE           "2006:10"
SERIAL              "Batch Average Data"
MATERIAL            "Kodak Ektachrome Product Family"
NUMBER_OF_FIELDS          11
BEGIN_DATA_FORMAT
SAMPLE_ID           XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B   STDEV_X STDEV_Y STDEV_Z STDEV_DE
END_DATA_FORMAT
NUMBER_OF_SETS 288
#
BEGIN_DATA
#ID                      X       Y       Z       L       A       B     SD_X    SD_Y    SD_Z   SD_dE
A01                     1.88    1.61    1.13   13.30    8.31    2.71    0.09    0.08    0.08    0.28
A02                     2.36    1.59    0.92   13.14   19.64    5.60    0.12    0.09    0.07    0.27
A03                     2.82    1.55    0.76   12.92   29.45    7.94    0.13    0.08    0.06    0.32
A04                     3.24    1.63    0.68   13.39   34.59   10.25    0.15    0.08    0.06    0.34
A05                     9.00    7.67    5.60   33.27   14.44    3.39    0.38    0.33    0.35    0.48
A06                    10.29    7.36    4.71   32.60   27.67    6.83    0.40    0.29    0.28    0.50
A07                    12.53    7.52    4.00   32.95   42.26   11.50    0.50    0.29    0.24    0.47
A08                    15.79    8.24    3.43   34.47   55.99   17.78    0.28    0.17    0.20    0.59
A09                    24.84   23.86   19.59   55.93    8.04    0.23    1.12    1.09    1.21    0.79
A10                    26.99   24.14   18.33   56.21   15.77    3.42    1.15    1.05    1.03    0.66
A11                    29.52   24.54   17.14   56.61   23.94    6.79    1.15    1.00    0.95    0.63
A12                    32.02   25.18   16.21   57.24   30.55   10.05    1.02    0.92    0.88    0.66
A13                    55.89   60.24   48.97   81.96   -5.39    0.85    1.78    1.94    1.59    0.51
A14                    58.59   58.08   47.24   80.77    6.34    0.81    1.82    2.01    1.63    0.66
A15                    60.12   62.37   45.36   83.10   -0.05    7.07    1.73    1.87    1.74    0.60
A16                    55.52   57.36   46.82   80.37    0.54    0.61    1.79    1.93    1.62    0.63
A17                    58.89   58.54   45.92   81.03    5.95    2.81    1.80    1.93    1.72    0.68
A18                    55.74   60.29   46.86   81.99   -5.88    3.36    1.87    1.98    1.80    0.58
A19                    56.01   58.10   48.91   80.78   -0.01   -1.11    2.08    2.24    1.76    0.75
A20                    15.88   22.83   38.83   54.87  -31.47  -33.34    0.84    1.32    1.61    1.13
A21                    14.84    7.40   10.99   32.68   58.04  -18.17    0.65    0.32    0.60    0.74
A22                    43.49   39.19    2.59   68.87   17.57   83.24    1.19    1.43    0.11    0.93
B01                     2.92    2.60    1.44   18.37    7.69    7.35    0.14    0.12    0.08    0.30
B02                     3.48    2.63    0.92   18.47   16.55   14.83    0.16    0.12    0.05    0.35
B03                     4.05    2.63    0.54   18.48   25.24   21.71    0.16    0.10    0.03    0.38
B04                     4.69    2.67    0.25   18.68   33.02   27.50    0.19    0.11    0.01    0.47
B05                    11.50   10.24    5.96   38.26   12.21   10.30    0.48    0.42    0.35    0.49
B06                    13.05   10.05    3.80   37.92   24.27   21.29    0.50    0.39    0.22    0.45
B07                    15.34   10.10    2.25   38.02   38.07   32.99    0.60    0.40    0.12    0.47
B08                    18.18   10.53    1.36   38.77   50.58   43.60    0.43    0.28    0.07    0.33
B09                    30.20   29.67   23.04   61.35    6.06    2.71    1.46    1.49    1.44    0.84
B10                    31.64   29.49   19.60   61.20   12.06    9.28    1.37    1.34    1.13    0.71
B11                    33.68   29.88   17.33   61.54   17.84   14.85    1.30    1.25    0.94    0.70
B12                    36.74   30.86   15.73   62.38   24.64   20.07    1.06    1.11    0.86    0.72
B13                    52.67   56.89   48.06   80.11   -5.57   -1.29    1.68    1.86    1.54    0.55
B14                    53.32   52.66   45.84   77.66    6.67   -2.90    1.83    2.01    1.56    0.79
B15                    55.60   57.93   44.46   80.69   -0.64    3.99    1.72    1.86    1.65    0.60
B16                    50.36   51.78   44.52   77.14    1.15   -2.21    1.74    1.89    1.53    0.69
B17                    53.26   52.90   43.72   77.80    5.88   -0.08    1.84    1.98    1.59    0.73
B18                    52.63   56.92   45.04   80.12   -5.75    2.32    1.84    1.99    1.72    0.61
B19                    51.43   52.92   47.37   77.81    1.07   -4.45    2.09    2.29    1.68    0.89
B20                    10.19   14.53   26.30   44.96  -26.48  -31.46    0.62    0.91    1.47    0.98
